Дата,T
2018-06-11,25
2018-06-11,23
2018-06-11,22
2018-06-11,18
2018-06-11,13
2018-06-11,14
2018-06-12,13
2018-06-12,17
2018-06-12,19
2018-06-12,21
2018-06-12,21
2018-06-12,19
2018-06-12,16
2018-06-12,18
2018-06-13,8
2018-06-13,14
2018-06-13,17
2018-06-13,15
2018-06-13,18
2018-06-13,15
2018-06-13,10
2018-06-13,10
2018-06-14,18
2018-06-14,20
2018-06-14,22
2018-06-14,22
2018-06-14,18
2018-06-14,16
2018-06-14,8
2018-06-14,9
2018-06-15,20
2018-06-15,22
2018-06-15,26
2018-06-15,27
2018-06-15,24
2018-06-15,19
2018-06-15,14
2018-06-15,17
2018-06-16,15
2018-06-16,16
2018-06-16,20
2018-06-16,18
2018-06-16,15
2018-06-16,15
2018-06-16,15
2018-06-16,17
2018-06-17,15
2018-06-17,16
2018-06-17,17
2018-06-17,19
2018-06-17,19
2018-06-17,17
2018-06-17,12
2018-06-17,14
2018-06-18,17
2018-06-18,20
2018-06-18,24
